"user_id","sign_up_date","age","gender","married","has_children","home_country","home_city","total_sessions","avg_session_duration_min","avg_page_clicks","total_bookings","num_cancellations","purchase_rate","cancellation_proportion","avg_flight_discount_perc","avg_hotel_discount_perc","flight_discount_proportion","hotel_discount_proportion","discount_purchase_rate","num_flights_booked","num_hotels_booked","user_id2","succesful_trips","avg_daygap_booking_to_flight","avg_daygap_booking_to_checkin","avg_trip_lenght","successful_flights","successful_hotels","avg_hotel_rooms","avg_hotel_nights","avg_seats_flight","avg_checked_bags","luggage_flight_proportion","luggage_trip_proportion","avg_distance_flown","flights_per_month","round_trips_proportion","avg_room_price_usd","avg_flight_price_usd","avg_price_per_seat","money_spend_hotel","money_spend_flight","usd_per_kilometer_flight","weekend_trip_proportion","season_preference"
"23557","2021-07-22","65","F","true","false","Usa","New York","8","1.28","10.25","2","0","0.25","0.00","","0.18","0.00","0.25","0.50","0","2","23557","2","","12.82","","0","2","1.50","10.00","","","","0.00","","","","177.00","","","3670.50","","","0.00","Summer"
"94883","2022-02-07","52","F","true","false","Usa","Kansas City","8","1.13","9.13","2","0","0.25","0.00","","0.10","0.00","0.13","0.00","2","2","94883","2","7.15","7.31","1.50","2","2","1.50","1.00","1.50","0.50","0.50","0.50","1453.67","1.00","1.00","90.00","432.05","276.25","230","864.09","0.30","0.00","Spring"
"101486","2022-02-17","51","F","true","true","Usa","Tacoma","8","2.04","16.38","2","0","0.25","0.00","0.08","","0.25","0.00","0.00","1","2","101486","2","9.04","7.90","4.00","1","2","1.50","4.00","1.00","0.00","0.00","0.00","965.34","1.00","1.00","198.50","189.91","189.91","2199","189.91","0.20","0.00","Summer"
"101961","2022-02-17","43","F","true","false","Usa","Boston","8","1.96","15.75","5","0","0.63","0.00","0.15","0.10","0.25","0.13","0.33","5","5","101961","5","6.26","6.41","4.80","5","5","1.00","3.80","1.00","0.40","0.40","0.40","1321.68","1.00","1.00","136.00","248.53","248.53","2429","1237.693","0.19","0.00","Spring"
"106907","2022-02-24","45","F","true","true","Usa","Miami","8","12.65","30.00","1","1","0.13","1.00","","","0.00","0.00","","1","1","106907","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Winter"
"118043","2022-03-10","52","F","false","true","Usa","Los Angeles","8","2.55","20.50","5","0","0.63","0.00","0.20","0.12","0.25","0.38","0.80","3","4","118043","5","9.38","8.36","4.67","3","4","1.25","5.50","2.00","1.00","1.00","0.60","2455.02","0.60","1.00","227.25","779.76","445.85","5616.45","2339.29","0.32","0.00","Spring"
"120851","2022-03-13","51","F","true","true","Usa","Santa Ana","8","0.86","6.88","1","0","0.13","0.00","0.23","","0.25","0.00","0.00","1","1","120851","1","7.50","7.70","12.00","1","1","1.00","11.00","1.00","0.00","0.00","0.00","2249.83","1.00","1.00","182.00","384.68","384.68","2002","384.68","0.17","0.00","Spring"
"125845","2022-03-19","40","F","true","false","Usa","El Paso","9","2.20","17.67","3","0","0.33","0.00","0.15","0.05","0.11","0.11","0.50","3","3","125845","3","9.09","9.31","3.33","3","3","1.33","1.67","1.33","0.67","0.67","0.67","2700.78","0.60","1.00","123.67","584.44","466.04","689","1646.7630","0.20","0.00","Winter"
"133058","2022-03-27","19","F","false","false","Usa","Austin","8","1.14","9.13","1","0","0.13","0.00","","0.05","0.00","0.13","0.00","1","0","133058","1","6.49","","4.00","1","0","","","1.00","0.00","0.00","0.00","2708.29","1.00","1.00","","423.51","423.51","","423.51","0.16","0.00","Spring"
"149058","2022-04-14","51","F","false","true","Usa","Birmingham","8","2.20","17.75","5","0","0.63","0.00","0.05","","0.13","0.00","1.00","5","5","149058","5","6.51","6.69","6.60","5","5","1.20","5.20","1.20","0.40","0.40","0.40","1904.76","1.25","1.00","168.60","385.73","336.32","5579","1919.1325","0.20","0.00","Winter"
